VIN,Model Year,Asking,Miles,Miles/Year,AWD,Tech Package,Leather,Engine,HP,Exterior,Interior
JM3KE4DY9G0837591,2016,34000.00,0,0,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Soul Red Metallic,Sand
JM3KE4DY1G0754298,2016,33698.00,0,0,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Crystal White Pearl Mica,Black
JM3KE4DY1G0752356,2016,33146.00,0,0,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Titanium Flash Mica,Sand
JM3KE4DY8G0755187,2016,31900.00,9441,18882,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Crystal White Pearl Mica,Black
JM3KE4DY9G0735000,2016,30995.00,4476,8952,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Meteor Gray Mica,Black
JM3KE4DY1G0781386,2016,30990.00,2274,4548,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Soul Red Metallic,Sand
JM3KE4DY6G0825950,2016,30770.00,0,0,Y,,Y,2.5L I4 16V GDI DOHC,184,Blue Reflex Mica,Black
JM3KE4DY4G0752402,2016,30500.00,11905,23810,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Soul Red Metallic,Black
JM3KE4DY6G0665570,2016,30296.00,11123,22246,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Deep Crystal Blue,Tan
JM3KE4DY7G0778640,2016,29097.00,3000,6000,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Crystal White Pearl Mica,Black
JM3KE4DY0G0731336,2016,28996.00,12633,25266,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Crystal White Pearl Mica,
JM3KE4DY4G0697045,2016,28500.00,7843,15686,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Meteor Gray Mica,Black
JM3KE4DY4G0695909,2016,31895.00,1377,2754,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Jet Black Mica,Black
JM3KE4DY1G0658364,2016,25991.00,12450,24900,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Meteor Gray Mica,Black
JM3KE4DY1G0701777,2016,25984.00,5930,11860,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Meteor Gray Mica,Black
JM3KE4DY8F0504040,2015,29995.00,24930,16620,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Crystal White Pearl Mica,Sand
JM3KE4DY2F0466790,2015,29965.00,23275,15517,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Blue Reflex Mica,Black
JM3KE4DY9F0538956,2015,29779.00,18998,12665,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Jet Black Mica,Black
JM3KE4DY8F0523722,2015,28500.00,2455,1637,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Liquid Silver Metallic,Black
JM3KE4DY6F0497489,2015,28340.00,10580,7053,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Soul Red Metallic,Black
JM3KE4DYXF0469212,2015,26000.00,14000,9333,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Blue Reflex Mica,Black
JM3KE4DY2F0497005,2015,25561.00,23601,15734,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Meteor Gray Mica,Black
JM3KE4DY2F0473898,2015,25488.00,9405,6270,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Meteor Gray Mica,Black
JM3KE4DYXF0522149,2015,25097.00,20000,13333,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Meteor Gray Mica,Black
JM3KE2DY0F0472401,2015,25097.00,22000,14667,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Jet Black Mica,Black
JM3KE4DY4F0454303,2015,25097.00,28000,18667,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Meteor Gray Mica,Black
JM3KE4DYXF0433102,2015,24688.00,16192,10795,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Jet Black Mica,Black
JM3KE4DY2F0492581,2015,24599.00,41000,27333,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Crystal White Pearl Mica,Tan
JM3KE4CY1F0478978,2015,24097.00,9000,6000,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Meteor Gray Mica,Black
JM3KE2DY0F0538056,2015,22097.00,37000,24667,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Meteor Gray Mica,Black
JM3KE4DY4E0425897,2014,28990.00,1632,653,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Crystal White Pearl Mica,Black
JM3KE4DY7E0322456,2014,27897.00,27311,10924,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Sky Blue Mica,Sand
JM3KE4DY5E0321757,2014,27585.00,13685,5474,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Sky Blue Mica,Black
JM3KE4DY5E0323444,2014,26991.00,48577,19431,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Meteor Gray Mica,Black
JM3KE4DY9E0386322,2014,26000.00,21910,8764,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Liquid Silver Metallic,Black
JM3KE4DY2E0414803,2014,25995.00,21422,8569,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Soul Red Metallic,Black
JM3KE4DY5E0362468,2014,25995.00,24811,9924,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Crystal White Pearl Mica,Black
JM3KE4DY9E0352722,2014,25995.00,32718,13087,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Meteor Gray Mica,Black
JM3KE4DY1E0340533,2014,25991.00,35788,14315,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Meteor Gray Mica,Black
JM3KE4DY7E0414246,2014,24097.00,39000,15600,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Meteor Gray Mica,Black
JM3KE4DY4E0303833,2014,21989.00,54511,21804,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Jet Black Mica,Black
JM3KE4DYXE0313993,2014,23698.00,34000,13600,Y,Y,Y,2.5L I4 16V GDI DOHC,184,,
JM3KE4DY5E0311925,2014,22698.00,38000,15200,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Jet Black Mica,Black
JM3KE4DY3E0362257,2014,24900.00,38426,15370,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Crystal White Pearl Mica,Sand
JM3KE4CYXE0364136,2014,19598.00,40000,16000,Y,Y,Y,2.5L I4 16V GDI DOHC,184,Jet Black Mica,Black
JM3KE4DE2D0136733,2013,26987.00,40345,11527,Y,Y,Y,2.0L I4 16V DOHC,155,Blue Reflex Mica,Black
JM3KE4DE1D0133810,2013,24097.00,29000,8286,Y,Y,Y,2.0L I4 16V DOHC,155,Jet Black Mica,Black
JM3KE4DE9D0129987,2013,23999.00,32023,9149,Y,Y,Y,2.0L I4 16V DOHC,155,Liquid Silver Metallic,Black
JM3KE4DE8D0152323,2013,21876.00,34254,9787,Y,Y,Y,2.0L I4 16V DOHC,155,Jet Black Mica,Black
JM3KE4DE2D0151829,2013,21698.00,41000,11714,Y,Y,Y,2.0L I4 16V DOHC,155,Jet Black Mica,Black
JM3KE4DE6D0112533,2013,21097.00,64000,18286,Y,Y,Y,2.0L I4 16V DOHC,155,Crystal White Pearl Mica,Gray
JM3KE4DE0D0100202,2013,20881.00,25626,7322,Y,Y,Y,2.0L I4 16V DOHC,155,Blue Reflex Mica,
JM3KE2CE1D0119752,2013,20698.00,44000,12571,Y,Y,Y,2.0L I4 16V DOHC,155,Crystal White Pearl Mica,Black
JM3KE4CE3D0127072,2013,20097.00,49000,14000,Y,Y,Y,2.0L I4 16V DOHC,155,Crystal White Pearl Mica,Gray
JM3KE4CE3D0169032,2013,19598.00,54000,15429,Y,Y,Y,2.0L I4 16V DOHC,155,Blue Reflex Mica,Tan
JM3KE4DE0D0102273,2013,19097.00,74000,21143,Y,Y,Y,2.0L I4 16V DOHC,155,Liquid Silver Metallic,Black
JM3KE2CE6D0119889,2013,18698.00,45000,12857,Y,Y,Y,2.0L I4 16V DOHC,155,Blue Reflex Mica,Black
JM3KE2CE0D0126059,2013,18097.00,56000,16000,Y,Y,Y,2.0L I4 16V DOHC,155,Blue Reflex Mica,Black
JM3KE2DE4D0150735,2013,18097.00,66000,18857,Y,Y,Y,2.0L I4 16V DOHC,155,Meteor Gray Mica,Black
JM3KE4DE7D0119586,2013,16995.00,55310,15803,Y,Y,Y,2.0L I4 16V DOHC,155,Blue Reflex Mica,Tan
